nominal coarse aggregate size (mm),RCA%,Rubber (%),Fiber (%),fiber type,W/C,plastisizer,fly ash %,compressive strength (MPa) (28days),split tensile strength (MPa)
25,0,0,0,none,0.4,no,0,37.2,3.48
25,0,0,0,none,0.4,no,0,37.2,3.48
25,0,0,0,none,0.4,no,0,37.2,3.48
25,0,0,0,none,0.4,no,0,34.2,2.97
25,0,0,0,none,0.4,no,0,34.2,2.97
25,0,0,0,none,0.4,no,0,34.2,2.97
25,100,0,0,none,0.4,no,0,30,2.55
25,100,0,0,none,0.4,no,0,30,2.55
25,100,0,0,none,0.4,no,0,30,2.55
25,100,0,0,none,0.4,no,0,34.1,2.65
25,100,0,0,none,0.4,no,0,34.1,2.65
25,100,0,0,none,0.4,no,0,34.1,2.65
20,0,0,0,none,0.5,yes,0,53.5,4.1
20,0,20,0,none,0.5,yes,0,42.1,3.1
20,0,0,0,none,0.5,yes,0,56.1,4.4
20,0,20,0,none,0.5,yes,0,45.9,3.2
20,0,0,0,none,0.5,yes,0,50.3,3.6
20,0,20,0,none,0.5,yes,0,35,2.9
20,0,20,0,none,0.5,yes,0,35.9,2.7
20,0,20,0,none,0.5,yes,0,38.6,3.1
20,0,20,0,none,0.5,yes,0,37.2,3.2
20,0,0,0,none,0.5,yes,0,55.4,4.3
20,0,20,0,none,0.5,yes,0,39.7,3.4
20,0,0,0,none,0.5,yes,0,50.6,4.2
20,0,20,0,none,0.5,yes,0,37.3,3.1
20,0,0,0,none,0.5,yes,0,47.7,3.9
20,0,20,0,none,0.5,yes,0,36.3,3.1
25,0,0,0,none,0.5,yes,0,24.66,2.41
25,0,0,0,none,0.5,yes,0,24.66,2.41
25,0,0,0,none,0.5,yes,0,24.66,2.41
25,30,0,0,none,0.5,yes,0,24.56,2.38
25,30,0,0,none,0.5,yes,0,24.56,2.38
25,30,0,0,none,0.5,yes,0,24.56,2.38
25,50,0,0,none,0.5,yes,0,24.15,2.33
25,50,0,0,none,0.5,yes,0,24.15,2.33
25,50,0,0,none,0.5,yes,0,24.15,2.33
25,100,0,0,none,0.5,yes,0,22.56,2.27
25,100,0,0,none,0.5,yes,0,22.56,2.27
25,100,0,0,none,0.5,yes,0,22.56,2.27
25,0,0,0,none,0.5,yes,0,24.66,2.41
25,0,0,0,none,0.5,yes,0,24.66,2.41
25,0,0,0,none,0.5,yes,0,24.66,2.41
25,30,0,0,none,0.5,yes,0,24.56,2.38
25,30,0,0,none,0.5,yes,0,24.56,2.38
25,30,0,0,none,0.5,yes,0,24.56,2.38
25,50,0,0,none,0.5,yes,0,24.15,2.33
25,50,0,0,none,0.5,yes,0,24.15,2.33
25,50,0,0,none,0.5,yes,0,24.15,2.33
